board_id,fe_id,channel,bl_e,bl_t,dead_time,do_t1_delay,g_e,g_q,g_t,masked,meas_mode,qdc_max_intg_t,qdc_min_intg_t,thr_e,thr_e_bl,thr_t1,thr_t1_bl,thr_t2,thr_t2_bl,trig_b,trig_e,trig_q,trig_t
57,2,19,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,57,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,2,5,60,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,45,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,20,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,56,15,58,15,56,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,21,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,60,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,22,6,52,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,56,15,52,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,23,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,46,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,24,5,55,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,45,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,25,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,58,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,26,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,57,15,53,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,27,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,59,15,54,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,28,6,59,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,60,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,29,6,59,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,56,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,3,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",23,23,62,56,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,30,5,55,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,45,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,31,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,46,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,32,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,45,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,33,6,52,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,55,15,52,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,34,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,58,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,35,5,55,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,46,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,36,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,58,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,37,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,59,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,38,5,54,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,47,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,39,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",23,23,62,56,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,4,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,40,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,58,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,41,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,57,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,42,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,56,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,43,6,58,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,56,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,44,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,60,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,45,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,58,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,46,5,55,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,44,15,54,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,47,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,57,15,53,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
